time,neem,wais,gisp2
17.0,0.008312988902701485,0.008992115960249798,0.007550949130152061
17.5,0.009213312610575291,0.010002353682146607,0.008381053471612486
18.0,0.010203668689236481,0.011102612587182734,0.009291167870081146
18.5,0.01120402836465182,0.012302895029040325,0.010301294839810097
19.0,0.012404459975150231,0.013503177470897918,0.011301420552413018
19.5,0.01360489158564864,0.014803483449576977,0.012401558836276232
20.0,0.014905359163688583,0.016103789428256035,0.01360170969139974
20.5,0.01630586270927006,0.01750411894375656,0.014901873117783538
21.0,0.01780640222239307,0.018904448459257085,0.016202036544167336
21.5,0.019306941735516087,0.02030477797475761,0.017602212541811428
22.0,0.02090751721618063,0.02160508395343667,0.01910240111071581
22.5,0.022508092696845176,0.023005413468937193,0.020702602250880487
23.0,0.024208704145051257,0.024305719447616253,0.02230280339104516
23.5,0.025909315593257338,0.025606025426295313,0.02410302967373042
24.0,0.027509891073921884,0.026806307868152905,0.025803243385155387
24.5,0.02911046655458643,0.027906566773189034,0.02770348223910094
25.0,0.03061100606770944,0.02900682567822516,0.029503708521786198
25.5,0.03211154558083245,0.029907037509618352,0.03130393480447146
26.0,0.03341201315887239,0.030807249341011547,0.03310416108715672
26.5,0.0346124447693708,0.03160743763558328,0.034804374798581686
27.0,0.03571284041232768,0.03220757885651207,0.03640457593874637
27.5,0.03661316412020149,0.03280772007744087,0.037704739365130156
28.0,0.037313415892992224,0.0333078377615482,0.038804877648993374
28.5,0.03791363169824143,0.03360790837201259,0.039604978219075715
29.0,0.0384138115359491,0.033907978982476994,0.04020505364663746
29.5,0.038713919438573705,0.03400800251929846,0.040605103931678634
30.0,0.038813955406115236,0.03410802605611993,0.040705116502938926
30.5,0.038813955406115236,0.03410802605611993,0.040605103931678634
31.0,0.038713919438573705,0.03400800251929846,0.04030506621789776
31.5,0.038513847503490635,0.033907978982476994,0.039905015932856586
32.0,0.038213739600866034,0.03360790837201259,0.03930494050529484
32.5,0.03771355976315836,0.0333078377615482,0.03870486507773308
33.0,0.037213379925450686,0.033007767151083806,0.03790476450765075
33.5,0.03661316412020149,0.03260767300379793,0.03710466393756841
34.0,0.03601294831495228,0.0321075553196906,0.03630456336748607
34.5,0.03531269654216154,0.03160743763558328,0.03540445022614344
35.0,0.03451240880182927,0.031107319951475945,0.034404324513540516
35.5,0.03381215702903853,0.030607202267368613,0.03350421137219789
36.0,0.03291183332116472,0.03000706104643982,0.032504085659594964
36.5,0.03211154558083245,0.02940691982551102,0.03160397251825234
37.0,0.031211221872958644,0.02870675506776076,0.030603846805649412
37.5,0.030410934132626372,0.028106613846831965,0.029603721093046494
38.0,0.029510610424752563,0.027506472625903167,0.02870360795170386
38.5,0.02861028671687876,0.026806307868152905,0.02780349481036123
39.0,0.02770996300900495,0.026106143110402644,0.026803369097758312
39.5,0.026809639301131144,0.025506001889473846,0.02590325595641568
40.0,0.025909315593257338,0.024805837131723584,0.025103155386333342
40.5,0.025109027852925063,0.024105672373973323,0.024203042244990713
41.0,0.024208704145051257,0.023505531153044525,0.023302929103648083
41.5,0.023408416404718985,0.022805366395294263,0.022502828533565746
42.0,0.022508092696845176,0.02220522517436547,0.02170272796348341
42.5,0.021707804956512904,0.021505060416615204,0.02090262739340107
43.0,0.02090751721618063,0.020904919195686406,0.020202539394579024
43.5,0.020107229475848358,0.020204754437936144,0.01950245139575698
44.0,0.019406977703057618,0.01960461321700735,0.018702350825674643
44.5,0.018606689962725343,0.01900447199607855,0.018002262826852595
45.0,0.017906438189934606,0.018404330775149757,0.017402187399290843
45.5,0.01720618641714387,0.01780418955422096,0.0167020994004688
46.0,0.01650593464435313,0.017304071870113628,0.016102023972907043
46.5,0.015805682871562393,0.016703930649184833,0.015501948545345291
47.0,0.015205467066313186,0.016203812965077502,0.014901873117783538
47.5,0.01460525126106398,0.015603671744148706,0.014301797690221786
48.0,0.014005035455814777,0.015103554060041376,0.013801734833920323
48.5,0.013404819650565572,0.014603436375934045,0.013301671977618862
49.0,0.012804603845316368,0.014103318691826714,0.01270159655005711
49.5,0.012204388040067163,0.013603201007719385,0.012301546265015941
50.0,0.011704208202359493,0.013103083323612055,0.01180148340871448
50.5,0.01120402836465182,0.01270298917632619,0.011301420552413018
51.0,0.01070384852694415,0.01220287149221886,0.01090137026737185
51.5,0.010203668689236481,0.011802777344932996,0.010401307411070388
52.0,0.009783517625562036,0.011402683197647132,0.010001257126029221
52.5,0.009343359368379286,0.011002589050361266,0.00962120935524011
53.0,0.008923208304704845,0.010602494903075403,0.009231160327324971
53.5,0.008513060837784553,0.010202400755789539,0.008861113813661888
54.0,0.008122920564372572,0.009822311315867967,0.008501068557124838
54.5,0.007742783887714741,0.009462226583310689,0.008161025814839844
55.0,0.007382654404565218,0.009102141850753412,0.007820983072554851
55.5,0.007032528518169849,0.008762061825560427,0.007500942844521915
56.0,0.006702409825282786,0.008431984154049589,0.0071909038736150096
56.5,0.006382294729149877,0.008111908836220897,0.006890866159834133
57.0,0.006082186826525275,0.007801835872074353,0.006610830960305315
57.5,0.005792082520654825,0.007501765261609955,0.006330795760776496
58.0,0.00551198181153853,0.007211697004827704,0.0060707630754997365
58.5,0.005241884699176387,0.006931631101727598,0.005810730390222977
59.0,0.004981791183568399,0.00666156755230964,0.005560698962072247
59.5,0.004741704861468718,0.006391504002891681,0.005330670048173574
60.0,0.004511622136123189,0.006141445160838016,0.005100641134274902
60.5,0.00428153941077766,0.0058913863187843515,0.004880613477502259
61.0,0.004071463878940439,0.0056613321840949795,0.004670587077855646
61.5,0.0038713919438573704,0.0054312780494056075,0.004470561935335062
62.0,0.003671320008774302,0.005211226268398382,0.004280538049940506
62.5,0.0034912552671995407,0.004991174487391156,0.004090514164545951
63.0,0.0033111905256247793,0.004791127413748224,0.0039104915362774256
63.5,0.0031411293808041715,0.004591080340105293,0.0037404701651349284
64.0,0.0029810718327377165,0.004401035620144507,0.0035704487939924316
64.5,0.0028310178814254156,0.004220993253865868,0.003410428679975964
65.0,0.0026809639301131143,0.004040950887587229,0.0032604098230855257
65.5,0.0025409135755549666,0.003870910874990737,0.0031103909661950872
66.0,0.002410866817750972,0.003710873216076391,0.0029703733664306784
66.5,0.0022808200599469777,0.0035508355571620452,0.002840357023792299
67.0,0.002160776898897137,0.003400800251929846,0.0027103406811539187
67.5,0.00205073733460145,0.003250764946697647,0.002590325595641568
68.0,0.001940697770305762,0.0031107319951475944,0.0024703105101292174
68.5,0.0018406618027642279,0.002980701397279689,0.002350295424616867
69.0,0.0017406258352226937,0.002850670799411783,0.002240281596230545
69.5,0.001650593464435313,0.0027306425552260233,0.002140269024970253
70.0,0.0015605610936479323,0.002610614311040264,0.002040256453709961
70.5,0.0014805323196147048,0.002490586066854505,0.0019402438824496688
71.0,0.0014005035455814776,0.0023805601763508925,0.0018502325683154059
71.5,0.0013204747715482503,0.002280536639529426,0.001760221254181143
72.0,0.0012504495942691765,0.0021805131027079604,0.001680211197172909
72.5,0.0011804244169901026,0.002080489565886494,0.0016002011401646753
73.0,0.001120402836465182,0.0019904683827471747,0.0015201910831564415
73.5,0.0010603812559402616,0.0019004471996078552,0.001450182283274237
74.0,0.0010003596754153412,0.0018204283701506823,0.0013801734833920323
74.5,0.0009453398932674974,0.0017404095406935095,0.001310164683509828
75.0,0.0008943215498213151,0.0016603907112363366,0.0012501571407536527
75.5,0.0008443035660505479,0.001580371881779164,0.0011901495979974772
76.0,0.0007982870209814422,0.0015103554060041375,0.0011301420552413018
76.5,0.0007532708355877519,0.0014403389302291114,0.0010801357696111557
77.0,0.0007122560888957229,0.0013803248081362316,0.0010201282268549805
77.5,0.0006722417018791093,0.001320310686043352,0.0009731223183626432
78.0,0.0006352283938887417,0.0012602965639504724,0.0009251162841577029
78.5,0.0005992154455737894,0.0012002824418575926,0.0008791105013779684
79.0,0.0005652032166096677,0.001140268319764713,0.00083510497002344
79.5,0.0005341920666717922,0.0010902565513539802,0.0007940998158067201
80.0,0.000504181276409332,0.001040244782943247,0.0007540947873026032
80.5,0.00047517084582228707,0.0009942339560053727,0.0007160900102236921
81.0,0.00044816113458607284,0.0009482231290674982,0.0006810856102825899
81.5,0.0004231521427006893,0.0009042127728660532,0.0006470813360540906
82.0,0.0003991435104907211,0.0008632031227692522,0.000614077187538194
82.5,0.00037613523795616827,0.0008231937080406657,0.0005830732904475035
83.0,0.0003551276847724461,0.0007851847640485086,0.0005540696447820188
83.5,0.0003351204912641393,0.0007491762907927809,0.000526066124829137
84.0,0.00031511329775583247,0.0007141680529052677,0.0004990627305888581
84.5,0.00029710682359835634,0.0006811602857541839,0.00047405958777378503
85.0,0.0002801007091162955,0.0006491527539713147,0.0004500565706713149
85.5,0.0002640949543096501,0.0006191456929248749,0.0004270536792814477
86.0,0.00024908955917841996,0.0005901388672466499,0.0004050509136041834
86.5,0.00023508452372260517,0.0005621322769366393,0.00038504839935212497
87.0,0.00022107948826679042,0.0005361261573630581,0.0003650458851000665
87.5,0.00020807481248639095,0.0005111202731576916,0.0003470436222732139
88.0,0.00019607049638140686,0.00048711462432053974,0.0003290413594463613
88.5,0.0001850665399518381,0.00046410921085160255,0.00031203922233211166
89.0,0.00017406258352226938,0.00044210403275088,0.0002960372109304649
89.5,0.00016405898676811597,0.0004220993253865868,0.0002810353252414211
90.0,0.00015405539001396253,0.0004020946180222936,0.0002660334395523773
90.5,0.00014505215293522447,0.000383090146026215,0.00025303180528853927
91.0,0.00013704927553190175,0.00036508590939835113,0.00024003017102470128
91.5,0.000129046398128579,0.0003470816727704872,0.0002270285367608633
92.0,0.00012104352072525629,0.0003310779068790527,0.00021602715392223115
