time,wais
111.0,4.9411627189804234e-05
111.5,4.681101523244612e-05
112.0,4.441045034873093e-05
112.5,4.2109909001837214e-05
113.0,3.990939119176496e-05
113.5,3.790892045533564e-05
114.0,3.5908449718906316e-05
114.5,3.400800251929846e-05
115.0,3.230760239333354e-05
115.5,3.060720226736861e-05
116.0,2.900682567822516e-05
116.5,2.7606496162724634e-05
117.0,2.620616664722411e-05
117.5,2.4805837131723585e-05
118.0,2.360555468986599e-05
118.5,2.2405272248008398e-05
119.0,2.1305013342972272e-05
119.5,2.0204754437936143e-05
120.0,1.9304542606542953e-05
120.5,1.830430723832829e-05
121.0,1.750411894375656e-05
121.5,1.6603907112363367e-05
122.0,1.580371881779164e-05
122.5,1.5103554060041375e-05
123.0,1.4403389302291112e-05
123.5,1.3803248081362317e-05
124.0,1.3103083323612055e-05
124.5,1.2502942102683258e-05
125.0,1.2002824418575927e-05
125.5,1.140268319764713e-05
126.0,1.0902565513539802e-05
126.5,1.040244782943247e-05
127.0,9.96234426741802e-06
127.5,9.52224070540357e-06
128.0,9.092139497071265e-06
128.5,8.682042996103254e-06
129.0,8.28194884881739e-06
129.5,7.90185940889582e-06
130.0,7.541774676338541e-06
130.5,7.19169229746341e-06
131.0,6.851612272270425e-06
131.5,6.531536954441734e-06
132.0,6.221463990295189e-06
132.5,5.921393379830791e-06
133.0,5.641327476730686e-06
133.5,5.361261573630581e-06
134.0,5.111202731576916e-06
134.5,4.861143889523251e-06
135.0,4.621087401151732e-06
135.5,4.401035620144507e-06
136.0,4.190986192819427e-06
136.5,3.990939119176496e-06
137.0,3.810896752897857e-06
137.5,3.630854386619218e-06
138.0,3.4608143740227257e-06
138.5,3.310779068790527e-06
139.0,3.1607437635583274e-06
139.5,3.020710812008275e-06
140.0,2.890680214140369e-06
140.5,2.77065196995461e-06
141.0,2.6506237257688506e-06
141.5,2.540597835265238e-06
142.0,2.4305719447616253e-06
142.5,2.3305484079401595e-06
143.0,2.24052722480084e-06
143.5,2.1405036879793734e-06
144.0,2.050482504840054e-06
144.5,1.9604613217007346e-06
145.0,1.880442492243562e-06
145.5,1.800423662786389e-06
146.0,1.7204048333292164e-06
146.5,1.6403860038720434e-06
147.0,1.5603671744148707e-06
147.5,1.4803483449576977e-06
148.0,1.4103318691826715e-06
148.5,1.3403153934076453e-06
149.0,1.270298917632619e-06
149.5,1.2002824418575926e-06
150.0,1.1302659660825664e-06
150.5,1.0702518439896867e-06
151.0,1.0102377218968074e-06
151.5,9.522240705403569e-07
152.0,8.982113606567653e-07
152.5,8.481995922460321e-07
153.0,8.001882945717285e-07
153.5,7.561779383702835e-07
154.0,7.151682882734824e-07
154.5,6.7815957964954e-07
155.0,6.441515771302415e-07
155.5,6.13144280715587e-07
156.0,5.841374550373618e-07
156.5,5.581313354637807e-07
157.0,5.341256866266287e-07
157.5,5.131207438941209e-07
158.0,4.921158011616131e-07
158.5,4.7311132916553447e-07
159.0,4.5510709253767056e-07
159.5,4.3810309127802133e-07
160.0,4.200988546501575e-07
160.5,4.0309485339050825e-07
161.0,3.8609085213085897e-07
161.5,3.6908685087120974e-07
162.0,3.510826142433459e-07
162.5,3.33078377615482e-07
163.0,3.150741409876181e-07
163.5,2.9606966899153956e-07
164.0,2.780654323636756e-07
164.5,2.590609603675971e-07
165.0,2.400564883715185e-07
165.5,2.2105201637544001e-07
166.0,2.030477797475761e-07
166.5,1.8604377848792688e-07
167.0,1.700400125964923e-07
167.5,1.550364820732724e-07
168.0,1.4103318691826715e-07
168.5,1.2803012713147656e-07
169.0,1.170275380811153e-07
169.5,1.0802541976718335e-07
170.0,9.99235132846446e-08
170.5,9.362203046489224e-08
171.0,8.872087716064039e-08
171.5,8.522005337188909e-08
172.0,8.291951202499537e-08
172.5,8.161920604631631e-08
173.0,8.111908836220898e-08
173.5,8.111908836220898e-08
174.0,8.151918250949483e-08
174.5,8.201930019360218e-08
175.0,8.241939434088803e-08
175.5,8.25194178777095e-08
176.0,8.211932373042364e-08
176.5,8.101906482538751e-08
177.0,7.921864116260111e-08
177.5,7.6618029205243e-08
178.0,7.311720541649169e-08
178.5,6.881619333316864e-08
179.0,6.371499295527388e-08
179.5,5.791362781962885e-08
180.0,5.161214499987649e-08
180.5,4.501059156965973e-08
181.0,3.810896752897857e-08
181.5,3.120734348829741e-08
182.0,2.440574298443772e-08
182.5,1.800423662786389e-08
183.0,1.220287149221886e-08
183.5,7.001647577502624e-09
184.0,2.6506237257688508e-09
184.5,-7.821840579438646e-10
185.0,-3.2207578856512074e-09
185.5,-4.651094462198172e-09
186.0,-5.081195670530476e-09
186.5,-4.541068571694559e-09
187.0,-3.130736702511888e-09
187.5,-9.75229484009294e-10
188.0,1.8104260164685358e-09
188.5,5.051188609484036e-09
189.0,8.562014751917495e-09
189.5,1.220287149221886e-08
190.0,1.5703695280970174e-08
190.5,1.9004471996078553e-08
191.0,2.18051310270796e-08
191.5,2.4105672373973324e-08
192.0,2.5706048963116775e-08
192.5,2.6606260794509973e-08
193.0,2.670628433133144e-08
193.5,2.6006119573581178e-08
194.0,2.4505766521259188e-08
194.5,2.2305248711186935e-08
195.0,1.9504589680185883e-08
195.5,1.6103789428256035e-08
196.0,1.2302895029040325e-08
196.5,8.351965324592417e-09
197.0,4.2710050222766015e-09
197.5,2.6806307868152903e-10
198.0,-3.500823788751312e-09
198.5,-6.901624040681158e-09
199.0,-9.792304254821528e-09
199.5,-1.2102847955397394e-08
200.0,-1.3703224544540851e-08
