gas_age_ce,mean_concentration_ppb
-1174.4,592.7164657
-1189,596.2961253
-1214,596.0452007
-1231.9,593.9543791
-1242.7,597.8381196
-1272.9,591.4490746
-1291.6,585.4180656
-1310,581.2658132
-1329.3,584.0545973
-1367.6,602.9940797
-1390.8,593.6913715
-1407.5,595.6585314
-1426.8,586.8312913
-1452.6,588.716234
-1468.5,586.1784114
-1487,577.2851763
-1503.3,569.2439708
-1563.3,593.6315026
-1580,582.9372035
-1598.4,583.7561235
-1615.5,575.8357383
-1638.2,576.3899345
-1651.5,569.2750355
-1657.3,574.605737
-1677.5,576.8204305
-1693.7,588.4609187
-1713.4,605.9552799
-1752.6,587.2078695
-1770.9,584.5691663
-1789.8,579.2733561
-1811.6,580.3032576
-1830.3,586.4900488
-1850.2,594.4622064
-1867.6,595.198195
-1908.5,604.7200076
-1943,607.3794785
-1965.8,595.6508145
-1982.7,598.4006828
-2004.8,600.3224142
-2019.9,592.8067544
-2045.1,590.6323121
-2061.6,574.5315022
-2084.8,579.8877206
-2151.3,577.3626629
-2170.3,575.7464564
-2191.8,570.1108107
-2245.2,571.0598515
-2260.8,576.4358582
-2294.4,575.3426154
-2319,583.6498274
-2341.7,585.7722811
-2362.4,581.4849554
-2378,579.7548479
-2416.7,573.3923851
-2443.3,583.5663633
-2463.7,584.0427639
-2484,584.3738463
-2507.1,595.0322586
-2550.1,564.7657343
-2568.9,576.7835333
-2609.5,581.9871805
-2662.2,576.6316915
-2703,574.0029497
-2764.4,578.261521
